id,activity,time_min,time_max,time_average,x_min,y_min,z_min,x_std,y_std,z_std,x_var,y_var,z_var,x_median,y_median,z_median,x_mean,y_mean,z_mean,x_max,y_max,z_max,label,final_label
1,Walking,4991920000000.0,5974870000000.0,5472666406966.799,-19.61,-5.79,-15.09,6.967988552626232,5.396159610344823,3.2207525850079666,48.55286446953023,29.118538540316766,10.3732472138355,-1.23,9.62,-0.72,-1.0000412098592644,9.455536116942696,-0.3436070290024104,19.57,19.57,13.44,0,1
1,Jogging,5374660000000.0,6298490000000.0,5854316327785.817,-19.61,-19.61,-17.2,10.706282214440089,9.483499255184247,5.653877615194009,114.6244788552362,89.93675812308018,31.966332087591905,-0.04,0.42,0.57,-0.20845604196816228,0.1979305354558612,1.1645568017366137,19.57,19.57,19.0,1,2
1,Upstairs,6489310000000.0,6848770000000.0,6668160064102.563,-19.61,-13.95,-16.44,7.779192495083151,6.492358701823331,4.7512295973481935,60.515835875558004,42.15072151314113,22.574182686717478,-6.7,5.09,0.15,-6.349432692307693,5.332679487179488,0.6336602564102564,16.55,19.57,18.58,3,1
1,Downstairs,6552940000000.0,6895550000000.0,6726541574294.457,-19.61,-5.01,-10.15,8.061251166258893,4.761466674340804,3.978546050907821,64.98377036551037,22.67156489085808,15.828828679194222,-0.84,8.54,-0.11,-1.033366201972118,8.542869772186332,0.5756409384563074,19.57,19.57,17.05,4,1
2,Walking,7981270000000.0,10012500000000.0,9028226003066.7,-19.5,-3.21,-17.27,3.1512600814446117,3.4804653634986686,3.433426041003811,9.930440100906305,12.11363914651392,11.788414379043102,-4.21,8.77,-0.5,-4.281787205043019,8.764059971036717,-0.5714481642388619,10.92,19.57,11.14,0,1
2,Jogging,8794760000000.0,10378200000000.0,9617204338197.86,-19.61,-14.98,-19.61,10.047730421005166,4.599569004057719,6.223607707142736,100.9568866131927,21.156035023088524,38.73329289240645,-1.14,1.12,0.04,-0.8705014423892754,1.6032114372984896,0.3505871372815205,19.57,19.57,18.12,1,2
3,Walking,0.0,101991000000000.0,101377909658521.56,-16.78,-4.79,-7.27,6.186261109056589,4.396071596954512,3.9066083044140014,38.26982650942603,19.325445485550183,15.261588444116445,-0.27,7.7,-0.27,1.3275086718569329,7.922722577661298,0.6133662221537037,17.12,19.31,18.58,0,1
3,Jogging,101236000000000.0,102290000000000.0,101681533309130.52,-19.23,-14.25,-18.89,8.114998644979641,7.9660626847115505,6.021514301342716,65.8532030080214,63.458154696753816,36.258634481274854,-4.6,0.89,-0.5,-6.3337393356326,2.971330550009076,0.4485051733526956,13.06,19.76,17.54,1,2
3,Sitting,102437000000000.0,102518000000000.0,102477356743318.84,0.5,-0.42,9.43,0.16318253400307686,0.14964456738457005,0.040072601385695364,0.026628539403665327,0.02239349654771512,0.001605813381816834,1.38,0.0,9.66,1.3781665630826598,0.056631448104412674,9.677240522063393,1.99,0.61,9.96,2,3
3,Upstairs,102728000000000.0,103191000000000.0,102952325417766.05,-19.23,-6.78,-13.82,7.321590276223396,6.639742414469725,3.9806307426307086,53.60568417288898,44.08617933050825,15.845421109176712,-1.27,6.24,1.04,-1.6613984168865434,7.134676048079741,1.7144884198182353,19.84,19.76,19.19,3,1
3,Downstairs,102807000000000.0,103260000000000.0,103037878232110.64,-19.08,-6.63,-9.43,5.771033146757422,5.2083065841289535,4.069623790234194,33.30482358097288,27.12645747428101,16.561837794040123,-1.16,7.44,1.99,-1.2144137101623569,7.8915213469633185,2.341846061334937,18.39,19.76,17.27,4,1
